date,Mkt-RF,SMB,HML,RF
200505,    3.65,    2.88,   -0.59,    0.24
200506,    0.57,    2.59,    2.81,    0.23
200507,    3.92,    2.90,   -0.78,    0.24
200508,   -1.22,   -0.98,    1.34,    0.30
200509,    0.49,   -0.67,    0.69,    0.29
200510,   -2.02,   -1.23,    0.41,    0.27
200511,    3.61,    0.99,   -1.20,    0.31
200512,   -0.25,   -0.41,    0.22,    0.32
200601,    3.04,    5.42,    1.09,    0.35
200602,   -0.30,   -0.40,   -0.37,    0.34
200603,    1.46,    3.45,    0.55,    0.37
200604,    0.73,   -1.43,    2.34,    0.36
200605,   -3.57,   -2.98,    2.39,    0.43
200606,   -0.35,   -0.38,    0.80,    0.40
200607,   -0.78,   -3.99,    2.62,    0.40
200608,    2.03,    1.01,   -2.04,    0.42
200609,    1.84,   -1.34,    0.06,    0.41
200610,    3.23,    1.72,   -0.26,    0.41
200611,    1.71,    0.72,    0.11,    0.42
200612,    0.87,   -1.13,    2.71,    0.40
200701,    1.40,    0.14,   -0.70,    0.44
200702,   -1.96,    1.18,   -0.12,    0.38
200703,    0.68,    0.15,   -0.94,    0.43
200704,    3.49,   -2.17,   -1.43,    0.44
200705,    3.24,    0.23,   -0.62,    0.41
200706,   -1.96,    0.76,   -1.07,    0.40
200707,   -3.73,   -2.61,   -3.73,    0.40
200708,    0.92,   -0.14,   -1.89,    0.42
200709,    3.22,   -2.22,   -2.23,    0.32
200710,    1.80,    0.12,   -3.11,    0.32
200711,   -4.83,   -2.93,   -0.94,    0.34
200712,   -0.87,    0.16,   -0.52,    0.27
200801,   -6.36,   -0.98,    4.01,    0.21
200802,   -3.09,   -0.41,   -0.84,    0.13
200803,   -0.93,    0.77,    0.35,    0.17
200804,    4.60,   -1.72,   -1.09,    0.18
200805,    1.86,    2.95,   -1.53,    0.18
200806,   -8.44,    1.24,   -2.70,    0.17
200807,   -0.77,    2.56,    5.27,    0.15
200808,    1.53,    3.50,    1.48,    0.13
200809,   -9.24,   -1.24,    5.90,    0.15
200810,  -17.23,   -2.52,   -2.22,    0.08
200811,   -7.86,   -2.87,   -6.30,    0.03
200812,    1.74,    3.49,    0.07,    0.00
200901,   -8.12,    0.18,  -11.11,    0.00
200902,  -10.10,    0.13,   -6.91,    0.01
200903,    8.95,    0.00,    3.34,    0.02
200904,   10.18,    5.28,    5.26,    0.01
200905,    5.21,   -2.52,    0.37,    0.00
200906,    0.43,    2.66,   -2.72,    0.01
200907,    7.72,    1.87,    4.84,    0.01
200908,    3.33,   -1.08,    7.63,    0.01
200909,    4.08,    2.43,    1.04,    0.01
200910,   -2.59,   -4.34,   -4.20,    0.00
200911,    5.56,   -2.39,   -0.33,    0.00
200912,    2.75,    6.04,   -0.17,    0.01
201001,   -3.36,    0.40,    0.43,    0.00
201002,    3.40,    1.19,    3.22,    0.00
201003,    6.31,    1.48,    2.21,    0.01
201004,    2.00,    4.87,    2.89,    0.01
201005,   -7.89,    0.09,   -2.44,    0.01
201006,   -5.57,   -1.81,   -4.70,    0.01
201007,    6.93,    0.24,   -0.30,    0.01
201008,   -4.77,   -2.95,   -1.96,    0.01
201009,    9.54,    3.96,   -3.17,    0.01
201010,    3.88,    1.21,   -2.49,    0.01
201011,    0.60,    3.77,   -0.88,    0.01
201012,    6.82,    0.67,    3.78,    0.01
201101,    1.99,   -2.44,    0.77,    0.01
201102,    3.49,    1.47,    1.24,    0.01
201103,    0.46,    2.56,   -1.88,    0.01
201104,    2.90,   -0.32,   -2.48,    0.00
201105,   -1.27,   -0.65,   -2.00,    0.00
201106,   -1.75,   -0.14,   -0.38,    0.00
201107,   -2.35,   -1.29,   -0.91,    0.00
201108,   -5.99,   -3.07,   -2.40,    0.01
201109,   -7.59,   -3.33,   -1.75,    0.00
201110,   11.35,    3.30,    0.12,    0.00
201111,   -0.28,   -0.17,   -0.46,    0.00
201112,    0.74,   -0.60,    1.61,    0.00
201201,    5.05,    2.06,   -0.94,    0.00
201202,    4.42,   -1.86,    0.43,    0.00
201203,    3.11,   -0.66,    1.12,    0.00
201204,   -0.85,   -0.41,   -0.77,    0.00
201205,   -6.19,    0.09,   -1.06,    0.01
201206,    3.89,    0.64,    0.59,    0.00
201207,    0.79,   -2.72,   -0.12,    0.00
201208,    2.55,    0.48,    1.30,    0.01
201209,    2.73,    0.54,    1.58,    0.01
201210,   -1.76,   -1.17,    3.56,    0.01
201211,    0.78,    0.61,   -0.83,    0.01
201212,    1.18,    1.52,    3.53,    0.01
201301,    5.57,    0.31,    0.95,    0.00
201302,    1.29,   -0.33,    0.10,    0.00
201303,    4.03,    0.83,   -0.23,    0.00
201304,    1.55,   -2.36,    0.50,    0.00
201305,    2.80,    1.72,    2.67,    0.00
201306,   -1.20,    1.32,    0.05,    0.00
201307,    5.65,    1.87,    0.57,    0.00
201308,   -2.71,    0.26,   -2.68,    0.00
201309,    3.77,    2.90,   -1.23,    0.00
201310,    4.18,   -1.56,    1.26,    0.00
201311,    3.13,    1.29,    0.28,    0.00
201312,    2.81,   -0.46,   -0.01,    0.00
201401,   -3.32,    0.92,   -2.02,    0.00
201402,    4.65,    0.37,   -0.31,    0.00
201403,    0.43,   -1.87,    4.92,    0.00
201404,   -0.19,   -4.20,    1.14,    0.00
201405,    2.06,   -1.89,   -0.13,    0.00
201406,    2.61,    3.09,   -0.69,    0.00
201407,   -2.04,   -4.28,    0.02,    0.00
201408,    4.24,    0.38,   -0.43,    0.00
201409,   -1.97,   -3.72,   -1.35,    0.00
201410,    2.52,    4.22,   -1.83,    0.00
201411,    2.55,   -2.05,   -3.09,    0.00
201412,   -0.06,    2.49,    2.27,    0.00
201501,   -3.11,   -0.54,   -3.61,    0.00
201502,    6.13,    0.60,   -1.86,    0.00
201503,   -1.12,    3.07,   -0.41,    0.00
201504,    0.59,   -3.04,    1.83,    0.00
201505,    1.36,    0.92,   -1.12,    0.00
201506,   -1.53,    2.90,   -0.78,    0.00
201507,    1.54,   -4.20,   -4.07,    0.00
201508,   -6.04,    0.36,    2.80,    0.00
201509,   -3.07,   -2.63,    0.58,    0.00
201510,    7.75,   -1.87,   -0.45,    0.00
201511,    0.56,    3.60,   -0.38,    0.00
201512,   -2.17,   -2.81,   -2.59,    0.01
201601,   -5.77,   -3.39,    2.07,    0.01
201602,   -0.08,    0.81,   -0.57,    0.02
201603,    6.96,    0.75,    1.10,    0.02
201604,    0.92,    0.67,    3.21,    0.01
201605,    1.78,   -0.19,   -1.65,    0.01
201606,   -0.05,    0.59,   -1.45,    0.02
201607,    3.95,    2.51,   -1.29,    0.02
201608,    0.50,    1.17,    3.11,    0.02
201609,    0.25,    2.13,   -1.21,    0.02
201610,   -2.02,   -4.41,    4.12,    0.02
201611,    4.86,    5.67,    8.21,    0.01
201612,    1.82,    0.09,    3.60,    0.03
201701,    1.94,   -1.13,   -2.74,    0.04
201702,    3.57,   -2.04,   -1.67,    0.04
201703,    0.17,    1.13,   -3.33,    0.03
201704,    1.09,    0.72,   -2.13,    0.05
201705,    1.06,   -2.52,   -3.75,    0.06
201706,    0.78,    2.23,    1.49,    0.06
201707,    1.87,   -1.46,   -0.22,    0.07
201708,    0.16,   -1.65,   -2.07,    0.09
